Rank,Sentence,Cloze,Word,POS,Definition,Translation,CEFR,Note
1,{{c1::Ab}} morgen muss ich arbeiten.,ab,ab,prep.,from,"Starting tomorrow, I have to work.",A1,
2,"Ich bin oft im Büro, {{c1::aber}} nur für wenige Stunden.",aber,aber,conj.,but,"I'm often in the office, but only for a few hours.",A1,
3,Wir {{c1::fahren}} um zwölf Uhr {{c1::ab}}.,fahren ab,abfahren,v.,depart,We leave at noon.,A1,
4,Vor der {{c1::Abfahrt}} rufe ich an.,Abfahrt,die Abfahrt,n. F.,departure,"Before we leave, I'll call.",A1,
5,Ich muss meine Schlüssel {{c1::abgeben}}.,abgeben,abgeben,v.,drop off,I have to drop off my keys.,A1,
6,Wann kann ich den Schrank bei dir {{c1::abholen}}?,abholen,abholen,v.,pick up,When can I pick up the closet from you?,A1,
7,Wir müssen noch meinen Bruder {{c1::abholen}}.,abholen,abholen,v.,pick up,We still have to pick up my brother.,A1,
8,Da ist ein Brief für dich ohne {{c1::Absender}}.,Absender,der Absender,n. M.,sender,There's a letter for you with no return address.,A1,
9,{{c1::Achtung}}! Das düren Sie nicht tun.,Achtung,die Achtung,n. F.,attention,Attention! You mustn't do that.,A1,
10,Können Sie mir seine {{c1::Adresse}} sagen?,Adresse,die Adresse,n. F.,address,Can you tell me his address?,A1,
11,{{c1::Alles}} Gute!,alles,all-,adj.,all,All the best!,A1,
12,Das ist {{c1::alles}}.,alles,all-,pron.,all,That's all.,A1,
13,Sind {{c1::alle}} da?,alle,all-,pron.,all,Is everybody here?,A1,
14,{{c1::Alle}} Freunde kommen.,Alle,all-,det.,all,All friends are coming.,A1,
15,hast du {{c1::alles}}?,alles,all-,pron.,all,Do you have everything?,A1,
16,Er kommt {{c1::allein}}.,allein,allein,adv.,alone,He's coming alone.,A1,
17,"{{c1::Also}}, es ist so: ...",Also,also,adv.,So,"Well, it's like this: ...",A1,
18,"Er hat Zeit, {{c1::also}} muss er uns helfen.",also,also,adv.,so,"He has time, so he must help us.",A1,
19,Wie {{c1::alt}} sind Sie?,alt,alt,adv.,old,How old are you?,A1,
20,Sie sehen aber nicht so {{c1::alt}} aus.,alt,alt,adv.,old,You don't look that old.,A1,
